+--------------------------------+-------------------+
| data/lfw_inner_aligned metrics | Value             |
+--------------------------------+-------------------+
| Total faces:                   | 6715              |
| Detected:                      | 5425/6715 (0.807) |
| Recognized:                    | 3503/5425 (0.645) |
| Total confidence:              | 698.2             |
+--------------------------------+-------------------+
+------------------------------------+-------------------+
| lfw_inner_aligned_gauss100 metrics | Value             |
+------------------------------------+-------------------+
| Total faces:                       | 6715              |
| Detected:                          | 5169/6715 (0.769) |
| Recognized:                        | 0/5169 (0.0)      |
| Total confidence:                  | -785.             |
+------------------------------------+-------------------+
+--------------------------------+-------------------+
| data/lfw_inner_aligned metrics | Value             |
+--------------------------------+-------------------+
| Total faces:                   | 6715              |
| Detected:                      | 5425/6715 (0.807) |
| Recognized:                    | 3503/5425 (0.645) |
| Total confidence:              | 698.2             |
+--------------------------------+-------------------+
+------------------------------------+-------------------+
| lfw_inner_aligned_gauss100 metrics | Value             |
+------------------------------------+-------------------+
| Total faces:                       | 6715              |
| Detected:                          | 5152/6715 (0.767) |
| Recognized:                        | 3266/5152 (0.633) |
| Total confidence:                  | 657.0             |
+------------------------------------+-------------------+


COMPARING.

Disguised:
+---------------------------------------+---------------------------+----------------+------------------------------+----------------+
| FILE                                  | NEW TARGET                | NEW CONFIDENCE | OLD TARGET                   | OLD CONFIDENCE |
+---------------------------------------+---------------------------+----------------+------------------------------+----------------+
| Javier_Solana_0001.png                | Mahmoud_Abbas             | 0.026          | Javier_Solana                | 0.021          |
| Sergey_Lavrov_0002.png                | Gerhard_Schroeder         | 0.030          | Sergey_Lavrov                | 0.025          |
| Gerhard_Schroeder_0087.png            | Ariel_Sharon              | 0.038          | Gerhard_Schroeder            | 0.041          |
| Mike_Myers_0004.png                   | George_W_Bush             | 0.026          | Mike_Myers                   | 0.023          |
| Nicolas_Cage_0003.png                 | Jack_Straw                | 0.012          | Nicolas_Cage                 | 0.012          |
| Rick_Perry_0004.png                   | Paul_Bremer               | 0.019          | Rick_Perry                   | 0.018          |
| Paul_Burrell_0009.png                 | Gerhard_Schroeder         | 0.021          | Paul_Burrell                 | 0.022          |
| Ray_Romano_0004.png                   | John_Negroponte           | 0.024          | Ray_Romano                   | 0.024          |
| Li_Peng_0008.png                      | Jennifer_Capriati         | 0.016          | Li_Peng                      | 0.015          |
| Wen_Jiabao_0001.png                   | Martin_McGuinness         | 0.012          | Wen_Jiabao                   | 0.016          |
| Tariq_Aziz_0002.png                   | Hans_Blix                 | 0.013          | Tariq_Aziz                   | 0.013          |
| Madonna_0003.png                      | Meryl_Streep              | 0.016          | Madonna                      | 0.014          |
| Sylvester_Stallone_0007.png           | Alvaro_Uribe              | 0.021          | Sylvester_Stallone           | 0.018          |
| Tom_Ridge_0011.png                    | Tony_Blair                | 0.033          | Tom_Ridge                    | 0.044          |
| Juan_Carlos_Ferrero_0012.png          | George_W_Bush             | 0.050          | Juan_Carlos_Ferrero          | 0.059          |
