+--------------------------------+-------------------+
| data/lfw_inner_aligned metrics | Value             |
+--------------------------------+-------------------+
| Total faces:                   | 6715              |
| Detected:                      | 5425/6715 (0.807) |
| Recognized:                    | 3503/5425 (0.645) |
| Total confidence:              | 698.2             |
+--------------------------------+-------------------+
+--------------------------------------+-------------------+
| lfw_inner_aligned_speckle100 metrics | Value             |
+--------------------------------------+-------------------+
| Total faces:                         | 6715              |
| Detected:                            | 4822/6715 (0.718) |
| Recognized:                          | 2899/4822 (0.601) |
| Total confidence:                    | 585.0             |
+--------------------------------------+-------------------+


COMPARING.

Disguised:
+------------------------------------------+---------------------------+----------------+---------------------------------+----------------+
| FILE                                     | NEW TARGET                | NEW CONFIDENCE | OLD TARGET                      | OLD CONFIDENCE |
+------------------------------------------+---------------------------+----------------+---------------------------------+----------------+
| Joe_Lieberman_0006.png                   | Dick_Cheney               | 0.021          | Joe_Lieberman                   | 0.030          |
| James_Blake_0005.png                     | Andy_Roddick              | 0.031          | James_Blake                     | 0.045          |
| Edmund_Stoiber_0007.png                  | Jean_Chretien             | 0.033          | Edmund_Stoiber                  | 0.037          |
| Amelia_Vega_0005.png                     | Jennifer_Lopez            | 0.033          | Amelia_Vega                     | 0.019          |
| Muhammad_Ali_0006.png                    | George_W_Bush             | 0.030          | Muhammad_Ali                    | 0.030          |
| Al_Gore_0006.png                         | Tony_Blair                | 0.022          | Al_Gore                         | 0.026          |
| Ralf_Schumacher_0001.png                 | Lleyton_Hewitt            | 0.030          | Ralf_Schumacher                 | 0.033          |
| Mike_Myers_0004.png                      | George_W_Bush             | 0.037          | Mike_Myers                      | 0.023          |
| Nicolas_Cage_0003.png                    | Gerhard_Schroeder         | 0.018          | Nicolas_Cage                    | 0.012          |
| Rick_Perry_0004.png                      | Paul_Bremer               | 0.020          | Rick_Perry                      | 0.018          |
| Paul_Burrell_0009.png                    | Gerhard_Schroeder         | 0.039          | Paul_Burrell                    | 0.022          |
| Guillermo_Coria_0009.png                 | Gerhard_Schroeder         | 0.037          | Guillermo_Coria                 | 0.053          |
| Ray_Romano_0004.png                      | John_Negroponte           | 0.024          | Ray_Romano                      | 0.024          |
| John_Kerry_0013.png                      | Silvio_Berlusconi         | 0.016          | John_Kerry                      | 0.019          |
| David_Beckham_0015.png                   | George_W_Bush             | 0.175          | David_Beckham                   | 0.081          |
| Vladimir_Putin_0049.png                  | Tony_Blair                | 0.024          | Vladimir_Putin                  | 0.022          |
| Antonio_Banderas_0001.png                | Fidel_Castro              | 0.015          | Antonio_Banderas                | 0.015          |
| Li_Peng_0008.png                         | Mahmoud_Abbas             | 0.010          | Li_Peng                         | 0.015          |
| Scott_McClellan_0002.png                 | George_W_Bush             | 0.017          | Scott_McClellan                 | 0.012          |
| Tariq_Aziz_0002.png                      | Mahmoud_Abbas             | 0.014          | Tariq_Aziz                      | 0.013          |
| Madonna_0003.png                         | Goldie_Hawn               | 0.013          | Madonna                         | 0.014          |
| Maria_Shriver_0005.png                   | Jennifer_Capriati         | 0.019          | Maria_Shriver                   | 0.020          |
| Paradorn_Srichaphan_0003.png             | Junichiro_Koizumi         | 0.032          | Paradorn_Srichaphan             | 0.027          |
| Arminio_Fraga_0004.png                   | George_W_Bush             | 0.015          | Arminio_Fraga                   | 0.016          |
| Juan_Carlos_Ferrero_0012.png             | George_W_Bush             | 0.052          | Juan_Carlos_Ferrero             | 0.059          |
| Hu_Jintao_0014.png                       | Junichiro_Koizumi         | 0.030          | Hu_Jintao                       | 0.023          |
| Vladimir_Putin_0032.png                  | Silvio_Berlusconi         | 0.074          | Vladimir_Putin                  | 0.097          |
| Tang_Jiaxuan_0008.png                    | Laura_Bush                | 0.032          | Tang_Jiaxuan                    | 0.029          |
| Amanda_Bynes_0002.png                    | Britney_Spears            | 0.012          | Amanda_Bynes                    | 0.013          |
| Dominique_de_Villepin_0012.png           | Tony_Blair                | 0.031          | Dominique_de_Villepin           | 0.030          |
| Al_Sharpton_0003.png                     | Kofi_Annan                | 0.021          | Al_Sharpton                     | 0.016          |
| Jiri_Novak_0003.png                      | George_W_Bush             | 0.025          | Jiri_Novak                      | 0.032          |
| Britney_Spears_0011.png                  | Heidi_Klum                | 0.013          | Britney_Spears                  | 0.022          |
| Ralf_Schumacher_0005.png                 | Rudolph_Giuliani          | 0.020          | Ralf_Schumacher                 | 0.019          |
| Dennis_Kucinich_0004.png                 | Arnold_Schwarzenegger     | 0.022          | Dennis_Kucinich                 | 0.016          |
| Michael_Bloomberg_0016.png               | Donald_Rumsfeld           | 0.040          | Michael_Bloomberg               | 0.042          |
| Choi_Sung-hong_0004.png                  | Jimmy_Carter              | 0.012          | Choi_Sung-hong                  | 0.011          |
| Arminio_Fraga_0006.png                   | Paul_Bremer               | 0.014          | Arminio_Fraga                   | 0.015          |
| Megawati_Sukarnoputri_0009.png           | Hu_Jintao                 | 0.020          | Megawati_Sukarnoputri           | 0.037          |
| Ann_Veneman_0005.png                     | Laura_Bush                | 0.029          | Ann_Veneman                     | 0.025          |
| Guillermo_Coria_0011.png                 | Colin_Powell              | 0.070          | Guillermo_Coria                 | 0.181          |
| Silvio_Berlusconi_0011.png               | Donald_Rumsfeld           | 0.087          | Silvio_Berlusconi               | 0.051          |
| Li_Zhaoxing_0008.png                     | Tung_Chee-hwa             | 0.020          | Li_Zhaoxing                     | 0.020          |
| Lucio_Gutierrez_0012.png                 | Alejandro_Toledo          | 0.040          | Lucio_Gutierrez                 | 0.051          |
| Guillermo_Coria_0004.png                 | George_W_Bush             | 0.103          | Guillermo_Coria                 | 0.082          |
| Dennis_Kucinich_0007.png                 | Gerhard_Schroeder         | 0.024          | Dennis_Kucinich                 | 0.016          |
