+--------------------------------+-------------------+
| data/lfw_inner_aligned metrics | Value             |
+--------------------------------+-------------------+
| Total faces:                   | 6715              |
| Detected:                      | 5425/6715 (0.807) |
| Recognized:                    | 4609/5425 (0.849) |
| Total confidence:              | 684.3             |
+--------------------------------+-------------------+
+------------------------------------+-------------------+
| lfw_inner_aligned_gauss100 metrics | Value             |
+------------------------------------+-------------------+
| Total faces:                       | 6715              |
| Detected:                          | 5152/6715 (0.767) |
| Recognized:                        | 4281/5152 (0.830) |
| Total confidence:                  | 647.1             |
+------------------------------------+-------------------+


COMPARING.

Disguised:
+---------------------------------------+---------------------------+----------------+------------------------------+----------------+
| FILE                                  | NEW TARGET                | NEW CONFIDENCE | OLD TARGET                   | OLD CONFIDENCE |
+---------------------------------------+---------------------------+----------------+------------------------------+----------------+
| Rachel_Hunter_0001.png                | Naomi_Watts               | 0.014          | Rachel_Hunter                | 0.021          |
| Edmund_Stoiber_0007.png               | Richard_Armitage          | 0.022          | Edmund_Stoiber               | 0.032          |
| Katherine_Harris_0004.png             | Steffi_Graf               | 0.011          | Katherine_Harris             | 0.011          |
| John_Manley_0001.png                  | Hans_Blix                 | 0.030          | John_Manley                  | 0.031          |
| Igor_Ivanov_0004.png                  | Tony_Blair                | 0.023          | Igor_Ivanov                  | 0.032          |
| George_W_Bush_0507.png                | Donald_Rumsfeld           | 0.165          | George_W_Bush                | 0.107          |
| Paul_ONeill_0001.png                  | Donald_Rumsfeld           | 0.040          | Paul_ONeill                  | 0.032          |
| Tommy_Thompson_0005.png               | Carlos_Menem              | 0.021          | Tommy_Thompson               | 0.025          |
| Cesar_Gaviria_0004.png                | Silvio_Berlusconi         | 0.013          | Cesar_Gaviria                | 0.028          |
| Binyamin_Ben-Eliezer_0004.png         | Hugo_Chavez               | 0.037          | Binyamin_Ben-Eliezer         | 0.027          |
| Ahmed_Chalabi_0001.png                | Tony_Blair                | 0.011          | Ahmed_Chalabi                | 0.014          |
| Jon_Gruden_0007.png                   | George_W_Bush             | 0.023          | Jon_Gruden                   | 0.027          |
| Guillermo_Coria_0009.png              | Tom_Crean                 | 0.013          | Guillermo_Coria              | 0.014          |
| Michael_Bloomberg_0005.png            | Tony_Blair                | 0.099          | Michael_Bloomberg            | 0.048          |
| Emma_Watson_0001.png                  | Carlos_Vives              | 0.010          | Emma_Watson                  | 0.010          |
| Susilo_Bambang_Yudhoyono_0004.png     | Mahathir_Mohamad          | 0.017          | Susilo_Bambang_Yudhoyono     | 0.014          |
| Yao_Ming_0004.png                     | Arnold_Schwarzenegger     | 0.010          | Yao_Ming                     | 0.016          |
| Jiri_Novak_0005.png                   | Lance_Armstrong           | 0.018          | Jiri_Novak                   | 0.033          |
| Heizo_Takenaka_0002.png               | Wen_Jiabao                | 0.016          | Heizo_Takenaka               | 0.019          |
| Charlton_Heston_0001.png              | Donald_Rumsfeld           | 0.026          | Charlton_Heston              | 0.022          |
| Win_Aung_0003.png                     | Venus_Williams            | 0.016          | Win_Aung                     | 0.018          |
| Ari_Fleischer_0013.png                | Wen_Jiabao                | 0.028          | Ari_Fleischer                | 0.028          |
| Ann_Veneman_0001.png                  | Colin_Powell              | 0.017          | Ann_Veneman                  | 0.016          |
| Kristanna_Loken_0005.png              | Angelina_Jolie            | 0.016          | Kristanna_Loken              | 0.020          |
| Scott_Peterson_0005.png               | Tony_Blair                | 0.015          | Scott_Peterson               | 0.021          |
| Vanessa_Incontrada_0002.png           | George_W_Bush             | 0.012          | Vanessa_Incontrada           | 0.014          |
| Samuel_Waksal_0001.png                | Fidel_Castro              | 0.016          | Samuel_Waksal                | 0.016          |
| Edwina_Currie_0003.png                | Mireya_Moscoso            | 0.012          | Edwina_Currie                | 0.012          |
| Dominique_de_Villepin_0008.png        | Tony_Blair                | 0.031          | Dominique_de_Villepin        | 0.032          |
| Clay_Aiken_0002.png                   | Hugo_Chavez               | 0.020          | Clay_Aiken                   | 0.026          |
| Julianne_Moore_0010.png               | Meryl_Streep              | 0.019          | Julianne_Moore               | 0.027          |
| Rebekah_Chantay_Revels_0001.png       | Norah_Jones               | 0.017          | Rebekah_Chantay_Revels       | 0.017          |
| Habib_Rizieq_0001.png                 | Tony_Blair                | 0.012          | Habib_Rizieq                 | 0.012          |
| Igor_Ivanov_0019.png                  | Mohammed_Al-Douri         | 0.018          | Igor_Ivanov                  | 0.018          |
| Tommy_Franks_0014.png                 | Tony_Blair                | 0.017          | Tommy_Franks                 | 0.019          |
| Gordon_Brown_0010.png                 | Tony_Blair                | 0.045          | Gordon_Brown                 | 0.036          |
| Hans_Blix_0021.png                    | Tony_Blair                | 0.017          | Hans_Blix                    | 0.037          |
| Spencer_Abraham_0017.png              | George_W_Bush             | 0.027          | Spencer_Abraham              | 0.021          |
| Walter_Mondale_0002.png               | Gerhard_Schroeder         | 0.024          | Walter_Mondale               | 0.019          |
| Clint_Eastwood_0006.png               | Donald_Rumsfeld           | 0.020          | Clint_Eastwood               | 0.019          |
| Gil_de_Ferran_0001.png                | Tony_Blair                | 0.019          | Gil_de_Ferran                | 0.024          |
| Vladimir_Putin_0032.png               | Silvio_Berlusconi         | 0.087          | Vladimir_Putin               | 0.078          |
| Nathalie_Baye_0003.png                | Anna_Kournikova           | 0.008          | Nathalie_Baye                | 0.012          |
| Justin_Leonard_0003.png               | David_Beckham             | 0.028          | Justin_Leonard               | 0.019          |
| Naji_Sabri_0005.png                   | Luiz_Inacio_Lula_da_Silva | 0.029          | Naji_Sabri                   | 0.031          |
| Pamela_Anderson_0003.png              | Angelina_Jolie            | 0.023          | Pamela_Anderson              | 0.016          |
| Jennifer_Garner_0008.png              | Naomi_Watts               | 0.012          | Jennifer_Garner              | 0.019          |
| Roman_Polanski_0004.png               | Joe_Lieberman             | 0.024          | Roman_Polanski               | 0.022          |
| Conan_OBrien_0001.png                 | Arnold_Schwarzenegger     | 0.014          | Conan_OBrien                 | 0.014          |
| Shimon_Peres_0003.png                 | Eduardo_Duhalde           | 0.020          | Shimon_Peres                 | 0.023          |
| Javier_Solana_0008.png                | Jacques_Chirac            | 0.024          | Javier_Solana                | 0.029          |
| Tim_Allen_0001.png                    | Dennis_Kucinich           | 0.015          | Tim_Allen                    | 0.014          |
| Demi_Moore_0004.png                   | Sarah_Jessica_Parker      | 0.017          | Demi_Moore                   | 0.018          |
| Herb_Sendek_0004.png                  | Alvaro_Uribe              | 0.024          | Herb_Sendek                  | 0.029          |
| George_Ryan_0003.png                  | Hans_Blix                 | 0.018          | George_Ryan                  | 0.016          |
| Janet_Napolitano_0003.png             | Michael_Schumacher        | 0.011          | Janet_Napolitano             | 0.018          |
| Sila_Calderon_0001.png                | Laura_Bush                | 0.039          | Sila_Calderon                | 0.018          |
| Fayssal_Mekdad_0002.png               | Alvaro_Uribe              | 0.019          | Fayssal_Mekdad               | 0.016          |
| Li_Zhaoxing_0002.png                  | Roh_Moo-hyun              | 0.022          | Li_Zhaoxing                  | 0.025          |
| Jan_Ullrich_0001.png                  | David_Beckham             | 0.023          | Jan_Ullrich                  | 0.037          |
| Gordon_Brown_0008.png                 | Tony_Blair                | 0.029          | Gordon_Brown                 | 0.047          |
| Bernard_Law_0005.png                  | Colin_Powell              | 0.016          | Bernard_Law                  | 0.020          |
| Todd_Haynes_0002.png                  | Julianne_Moore            | 0.016          | Todd_Haynes                  | 0.014          |
| Peter_Struck_0003.png                 | Tony_Blair                | 0.013          | Peter_Struck                 | 0.017          |
| Gloria_Macapagal_Arroyo_0039.png      | Jackie_Chan               | 0.030          | Gloria_Macapagal_Arroyo      | 0.030          |
| Hans_Blix_0007.png                    | Donald_Rumsfeld           | 0.037          | Hans_Blix                    | 0.040          |
| John_Abizaid_0009.png                 | George_W_Bush             | 0.018          | John_Abizaid                 | 0.024          |
| Zhu_Rongji_0004.png                   | Junichiro_Koizumi         | 0.022          | Zhu_Rongji                   | 0.024          |
| Steve_Nash_0004.png                   | Alvaro_Uribe              | 0.012          | Steve_Nash                   | 0.026          |
| Gordon_Brown_0004.png                 | Colin_Powell              | 0.025          | Gordon_Brown                 | 0.036          |
| Tommy_Thompson_0008.png               | George_W_Bush             | 0.013          | Tommy_Thompson               | 0.024          |
| Steve_Lavin_0001.png                  | Paul_Bremer               | 0.023          | Steve_Lavin                  | 0.036          |
| Richard_Gere_0007.png                 | George_W_Bush             | 0.025          | Richard_Gere                 | 0.033          |
| Ray_Romano_0007.png                   | Sylvester_Stallone        | 0.014          | Ray_Romano                   | 0.032          |
| Guillermo_Canas_0004.png              | Andy_Roddick              | 0.020          | Guillermo_Canas              | 0.037          |
| Antonio_Palocci_0001.png              | Luiz_Inacio_Lula_da_Silva | 0.021          | Antonio_Palocci              | 0.019          |
| Enrique_Bolanos_0003.png              | Elton_John                | 0.012          | Enrique_Bolanos              | 0.020          |
