+--------------------------------+-------------------+
| data/lfw_outer_aligned metrics | Value             |
+--------------------------------+-------------------+
| Total faces:                   | 6715              |
| Detected:                      | 4625/6715 (0.688) |
| Recognized:                    | 4207/4625 (0.909) |
| Total confidence:              | 3368.             |
+--------------------------------+-------------------+
+------------------------------------+-------------------+
| lfw_outer_aligned_gauss100 metrics | Value             |
+------------------------------------+-------------------+
| Total faces:                       | 6715              |
| Detected:                          | 4392/6715 (0.654) |
| Recognized:                        | 3935/4392 (0.895) |
| Total confidence:                  | 3059.             |
+------------------------------------+-------------------+


COMPARING.

Disguised:
+---------------------------------------+---------------------------+----------------+----------------+
| FILE                                  | NEW TARGET                | NEW CONFIDENCE | OLD CONFIDENCE |
+---------------------------------------+---------------------------+----------------+----------------+
| Prince_Claus_0003.png                 | Nestor_Kirchner           | 0.312          | 0.320          |
| Andre_Agassi_0008.png                 | Gordon_Brown              | 0.311          | 0.418          |
| Rachel_Hunter_0001.png                | Goldie_Hawn               | 0.520          | 0.468          |
| Kate_Hudson_0006.png                  | Madonna                   | 0.481          | 0.685          |
| Katherine_Harris_0004.png             | Kathleen_Kennedy_Townsend | 0.232          | 0.506          |
| Alvaro_Uribe_0018.png                 | John_Abizaid              | 0.405          | 0.617          |
| Jennifer_Lopez_0011.png               | Arianna_Huffington        | 0.762          | 0.169          |
| Gregg_Popovich_0003.png               | Bob_Graham                | 0.340          | 0.595          |
| Kim_Dae-jung_0001.png                 | Zhu_Rongji                | 0.247          | 0.624          |
| Salma_Hayek_0003.png                  | Sila_Calderon             | 0.396          | 0.930          |
| Pedro_Almodovar_0002.png              | Romano_Prodi              | 0.537          | 0.817          |
| Angelina_Jolie_0018.png               | Heidi_Fleiss              | 0.496          | 0.322          |
| Ariel_Sharon_0026.png                 | Trent_Lott                | 0.768          | 0.515          |
| Tariq_Aziz_0002.png                   | Marc_Grossman             | 0.532          | 0.620          |
| Luis_Ernesto_Derbez_Bautista_0003.png | Sergey_Lavrov             | 0.363          | 0.331          |
| Jackie_Chan_0002.png                  | Naoto_Kan                 | 0.146          | 0.221          |
| Moshe_Katsav_0004.png                 | Mohammed_Al-Douri         | 0.442          | 0.402          |
| Igor_Ivanov_0013.png                  | Mahathir_Mohamad          | 0.706          | 0.856          |
| Hugh_Grant_0002.png                   | John_Edwards              | 0.581          | 0.397          |
| Shimon_Peres_0004.png                 | Jackie_Chan               | 0.230          | 0.744          |
| Jacques_Chirac_0013.png               | Donald_Rumsfeld           | 0.426          | 0.945          |
| Jennifer_Garner_0012.png              | Naomi_Watts               | 0.417          | 0.590          |
| Leonid_Kuchma_0001.png                | Dick_Cheney               | 0.364          | 0.419          |
| James_Wolfensohn_0005.png             | William_Bulger            | 0.171          | 0.188          |
| Mark_Wahlberg_0002.png                | Carlos_Moya               | 0.544          | 0.526          |
| Jean_Chretien_0008.png                | Edmund_Stoiber            | 0.322          | 0.444          |
| Hillary_Clinton_0008.png              | Nicole_Kidman             | 0.649          | 0.919          |
| Sourav_Ganguly_0005.png               | Martin_Scorsese           | 0.379          | 0.505          |
| Queen_Elizabeth_II_0006.png           | Hans_Blix                 | 0.522          | 0.535          |
| Alejandro_Toledo_0012.png             | Ricardo_Lagos             | 0.417          | 0.884          |
| Jennifer_Garner_0008.png              | Sarah_Jessica_Parker      | 0.166          | 0.604          |
| Luis_Ernesto_Derbez_Bautista_0006.png | Donald_Rumsfeld           | 0.202          | 0.431          |
| David_Nalbandian_0004.png             | Paul_Bremer               | 0.273          | 0.942          |
| James_Kelly_0011.png                  | John_Paul_II              | 0.366          | 0.650          |
| Brad_Garrett_0004.png                 | Luiz_Inacio_Lula_da_Silva | 0.735          | 0.862          |
| Sachiko_Yamada_0004.png               | Anna_Kournikova           | 0.579          | 0.757          |
| Hosni_Mubarak_0002.png                | Paul_ONeill               | 0.389          | 0.307          |
| Lance_Armstrong_0001.png              | Richard_Gere              | 0.239          | 0.781          |
| Augustin_Calleri_0002.png             | George_Clooney            | 0.465          | 0.672          |
| Alvaro_Uribe_0003.png                 | Paul_Wolfowitz            | 0.525          | 0.457          |
| Howard_Dean_0009.png                  | Tony_Blair                | 0.675          | 0.947          |
| Li_Zhaoxing_0002.png                  | Roh_Moo-hyun              | 0.246          | 0.430          |
| Mike_Martz_0001.png                   | Tony_Blair                | 0.575          | 0.719          |
| Prince_Charles_0002.png               | Bud_Selig                 | 0.342          | 0.634          |
| Eduardo_Duhalde_0004.png              | Jean-Pierre_Raffarin      | 0.601          | 0.983          |
| Mark_Wahlberg_0004.png                | William_Ford_Jr           | 0.515          | 0.662          |
| Steve_Lavin_0001.png                  | Paul_Bremer               | 0.736          | 0.409          |
| Colin_Powell_0178.png                 | Alvaro_Silva_Calderon     | 0.278          | 0.907          |
| Paul_ONeill_0004.png                  | Hosni_Mubarak             | 0.665          | 0.653          |
| Rick_Perry_0006.png                   | Paul_Bremer               | 0.931          | 0.367          |
| Antonio_Palocci_0001.png              | Luiz_Inacio_Lula_da_Silva | 0.487          | 0.446          |
| Lindsay_Davenport_0015.png            | Aleksander_Kwasniewski    | 0.632          | 0.989          |
| Lleyton_Hewitt_0021.png               | Christopher_Reeve         | 0.266          | 0.407          |
| Rudolph_Giuliani_0002.png             | George_W_Bush             | 0.416          | 0.538          |
| Iain_Duncan_Smith_0001.png            | John_Ashcroft             | 0.532          | 0.580          |
| Howard_Dean_0012.png                  | Tony_Blair                | 0.414          | 0.846          |
| Luis_Ernesto_Derbez_Bautista_0002.png | Bob_Hope                  | 0.197          | 0.658          |
| Arnold_Schwarzenegger_0018.png        | Bill_McBride              | 0.468          | 0.669          |
| Ernie_Els_0002.png                    | Lance_Armstrong           | 0.592          | 0.557          |
| William_Ford_Jr_0002.png              | Tony_Blair                | 0.544          | 0.498          |
| Pete_Sampras_0012.png                 | Arnold_Schwarzenegger     | 0.926          | 0.931          |
| George_Lopez_0005.png                 | Silvio_Berlusconi         | 0.166          | 0.529          |
| Eduard_Shevardnadze_0002.png          | Walter_Mondale            | 0.384          | 0.881          |
| Kim_Ryong-sung_0007.png               | Gloria_Macapagal_Arroyo   | 0.456          | 0.608          |
| Atal_Bihari_Vajpayee_0016.png         | Elton_John                | 0.808          | 0.849          |
| Alvaro_Uribe_0022.png                 | Steven_Spielberg          | 0.182          | 0.885          |
| Jim_Furyk_0002.png                    | Arnold_Schwarzenegger     | 0.291          | 0.303          |
| Jennifer_Aniston_0021.png             | Demi_Moore                | 0.239          | 0.778          |
| Megawati_Sukarnoputri_0008.png        | Angelina_Jolie            | 0.400          | 0.716          |
| Tony_Blair_0018.png                   | Silvio_Berlusconi         | 0.329          | 0.491          |
| Catherine_Zeta-Jones_0008.png         | Naomi_Watts               | 0.317          | 0.609          |
| Jose_Maria_Aznar_0002.png             | Antonio_Banderas          | 0.656          | 0.881          |
| Diana_Krall_0005.png                  | Steffi_Graf               | 0.378          | 0.399          |
| John_Warner_0001.png                  | Trent_Lott                | 0.512          | 0.305          |
| Vaclav_Havel_0005.png                 | Tony_Blair                | 0.666          | 0.757          |
| Michael_Bloomberg_0019.png            | Jacques_Rogge             | 0.239          | 0.777          |
| Ariel_Sharon_0019.png                 | Jean_Chretien             | 0.588          | 0.415          |
| Alvaro_Uribe_0004.png                 | Mahmoud_Abbas             | 0.471          | 0.327          |
| Jerry_Springer_0004.png               | Hans_Blix                 | 0.425          | 0.466          |
| Joan_Laporta_0003.png                 | Oswaldo_Paya              | 0.282          | 0.643          |
| Tony_Blair_0126.png                   | William_Ford_Jr           | 0.362          | 0.842          |
| Jacques_Rogge_0003.png                | Gregg_Popovich            | 0.342          | 0.416          |
| Carrie-Anne_Moss_0003.png             | Catherine_Zeta-Jones      | 0.299          | 0.676          |
| Mohamed_ElBaradei_0002.png            | Javier_Solana             | 0.349          | 0.834          |
| Marc_Grossman_0004.png                | Gerhard_Schroeder         | 0.914          | 0.530          |
| Vladimir_Putin_0046.png               | Dominique_de_Villepin     | 0.445          | 0.593          |
| Tommy_Thompson_0004.png               | Carlos_Menem              | 0.303          | 0.591          |
| Tim_Robbins_0005.png                  | Tony_Blair                | 0.653          | 0.544          |
| Megawati_Sukarnoputri_0016.png        | Yoriko_Kawaguchi          | 0.720          | 0.907          |
| Megawati_Sukarnoputri_0004.png        | Gloria_Macapagal_Arroyo   | 0.764          | 0.999          |
| Recep_Tayyip_Erdogan_0016.png         | Antonio_Palocci           | 0.601          | 0.846          |
| Hamid_Karzai_0001.png                 | Winona_Ryder              | 0.416          | 0.363          |
| Renee_Zellweger_0007.png              | Erin_Runnion              | 0.449          | 0.427          |
| Naomi_Watts_0011.png                  | Nicole_Kidman             | 0.254          | 0.529          |
| Carla_Del_Ponte_0003.png              | Javier_Solana             | 0.314          | 0.546          |
| Choi_Sung-hong_0005.png               | Yasser_Arafat             | 0.367          | 0.457          |
| Robert_Kocharian_0005.png             | Tommy_Thompson            | 0.255          | 0.483          |
| Robert_Redford_0004.png               | Bob_Stoops                | 0.331          | 0.439          |
| Naomi_Watts_0015.png                  | Martina_McBride           | 0.246          | 0.196          |
| Jose_Maria_Aznar_0008.png             | Vojislav_Kostunica        | 0.396          | 0.906          |
| Tom_Hanks_0005.png                    | Gerhard_Schroeder         | 0.528          | 0.442          |
| Tom_Harkin_0001.png                   | Bob_Hope                  | 0.280          | 0.516          |
| Jean_Chretien_0012.png                | Mohammed_Al-Douri         | 0.271          | 0.457          |
| Tony_Blair_0101.png                   | Hans_Blix                 | 0.901          | 0.607          |
| Fernando_Henrique_Cardoso_0001.png    | David_Anderson            | 0.127          | 0.247          |
| Megawati_Sukarnoputri_0028.png        | Yoriko_Kawaguchi          | 0.710          | 0.913          |
| Catherine_Zeta-Jones_0007.png         | Rebecca_Romijn-Stamos     | 0.485          | 0.346          |
| William_Ford_Jr_0007.png              | Tony_Blair                | 0.687          | 0.793          |
| Roger_Federer_0011.png                | Sylvester_Stallone        | 0.196          | 0.752          |
| Hamid_Karzai_0015.png                 | Abdullah_Gul              | 0.370          | 0.737          |
| Colin_Farrell_0002.png                | Jeb_Bush                  | 0.230          | 0.841          |
| Gordon_Brown_0003.png                 | Yasser_Arafat             | 0.235          | 0.326          |
| Demi_Moore_0001.png                   | Hugh_Grant                | 0.228          | 0.200          |
| Megawati_Sukarnoputri_0002.png        | Gloria_Macapagal_Arroyo   | 0.624          | 0.949          |
| David_Beckham_0012.png                | Tony_Blair                | 0.412          | 0.353          |
| Goldie_Hawn_0005.png                  | Rita_Wilson               | 0.618          | 0.671          |
| Jim_Tressel_0002.png                  | Art_Howe                  | 0.400          | 0.319          |
| Gray_Davis_0005.png                   | Tony_Blair                | 0.972          | 0.387          |
| Christine_Baumgartner_0005.png        | Jennifer_Lopez            | 0.474          | 0.641          |
| Paul_Burrell_0002.png                 | Gerhard_Schroeder         | 0.707          | 0.433          |
| Fidel_Castro_0004.png                 | Vicente_Fox               | 0.688          | 0.611          |
| Fernando_Henrique_Cardoso_0004.png    | Mohamed_ElBaradei         | 0.356          | 0.486          |
| Pervez_Musharraf_0008.png             | Mahathir_Mohamad          | 0.594          | 0.523          |
| Susan_Sarandon_0006.png               | Christine_Todd_Whitman    | 0.275          | 0.357          |
| Jacques_Chirac_0034.png               | Gene_Robinson             | 0.278          | 0.172          |
| Jean_Chretien_0044.png                | Bob_Hope                  | 0.461          | 0.875          |
| Mike_Weir_0008.png                    | Sebastien_Grosjean        | 0.309          | 0.333          |
| Michael_Bloomberg_0013.png            | Tony_Blair                | 0.637          | 0.546          |
| Prince_Charles_0003.png               | George_W_Bush             | 0.350          | 0.668          |
| Jacques_Chirac_0038.png               | David_Anderson            | 0.736          | 0.542          |
| John_Allen_Muhammad_0006.png          | Vojislav_Kostunica        | 0.154          | 0.231          |
| Colin_Farrell_0008.png                | Oscar_De_La_Hoya          | 0.535          | 0.656          |
| Dick_Cheney_0009.png                  | Jack_Straw                | 0.221          | 0.604          |
| John_Ashcroft_0042.png                | George_Galloway           | 0.507          | 0.811          |
| Billy_Crystal_0004.png                | Dennis_Kucinich           | 0.336          | 0.472          |
| Tony_Blair_0133.png                   | Hans_Blix                 | 0.772          | 0.531          |
| Serena_Williams_0050.png              | Charles_Moose             | 0.405          | 0.913          |
| Frank_Solich_0001.png                 | Jacques_Rogge             | 0.309          | 0.753          |
| Kevin_Spacey_0003.png                 | Hans_Blix                 | 0.441          | 0.296          |
| Vladimir_Putin_0035.png               | Dominique_de_Villepin     | 0.334          | 0.905          |
| Tung_Chee-hwa_0008.png                | Chen_Shui-bian            | 0.329          | 0.704          |
| King_Abdullah_II_0005.png             | Alastair_Campbell         | 0.521          | 0.829          |
| Emanuel_Ginobili_0005.png             | John_Kerry                | 0.366          | 0.357          |
| Colin_Powell_0185.png                 | John_Ashcroft             | 0.531          | 0.981          |
| Allyson_Felix_0001.png                | Michael_Chang             | 0.560          | 0.745          |
| Hosni_Mubarak_0001.png                | Alejandro_Toledo          | 0.491          | 0.517          |
| Robert_Duvall_0002.png                | Gerhard_Schroeder         | 0.799          | 0.568          |
| Justin_Timberlake_0003.png            | Matthew_Broderick         | 0.373          | 0.547          |
| Pedro_Malan_0004.png                  | Jean-David_Levitte        | 0.293          | 0.623          |
