+--------------------------------+-------------------+
| data/lfw_outer_aligned metrics | Value             |
+--------------------------------+-------------------+
| Total faces:                   | 6715              |
| Detected:                      | 4625/6715 (0.688) |
| Recognized:                    | 4207/4625 (0.909) |
| Total confidence:              | 3368.             |
+--------------------------------+-------------------+
+------------------------------------+-------------------+
| lfw_outer_aligned_gauss500 metrics | Value             |
+------------------------------------+-------------------+
| Total faces:                       | 6715              |
| Detected:                          | 2605/6715 (0.387) |
| Recognized:                        | 2031/2605 (0.779) |
| Total confidence:                  | 1340.             |
+------------------------------------+-------------------+


COMPARING.

Disguised:
+---------------------------------------+-------------------------------+----------------+----------------+
| FILE                                  | NEW TARGET                    | NEW CONFIDENCE | OLD CONFIDENCE |
+---------------------------------------+-------------------------------+----------------+----------------+
| Colin_Powell_0110.png                 | Tony_Blair                    | 0.493          | 0.899          |
| Abel_Pacheco_0003.png                 | Ariel_Sharon                  | 0.516          | 0.873          |
| Wen_Jiabao_0007.png                   | Saddam_Hussein                | 0.318          | 0.626          |
| Jean_Chretien_0036.png                | Ariel_Sharon                  | 0.297          | 0.544          |
| Bud_Selig_0004.png                    | Jean_Chretien                 | 0.401          | 0.735          |
| Justine_Pasek_0003.png                | Jennifer_Capriati             | 0.649          | 0.777          |
| Katherine_Harris_0004.png             | Steffi_Graf                   | 0.530          | 0.506          |
| Alvaro_Uribe_0018.png                 | Donald_Rumsfeld               | 0.215          | 0.617          |
| Barbara_Walters_0001.png              | Debbie_Reynolds               | 0.283          | 0.853          |
| Ralf_Schumacher_0001.png              | Hugh_Grant                    | 0.444          | 0.819          |
| Naomi_Watts_0018.png                  | Nicole_Kidman                 | 0.463          | 0.654          |
| Jennifer_Capriati_0011.png            | Tony_Blair                    | 0.366          | 0.914          |
| Paul_Burrell_0009.png                 | Gerhard_Schroeder             | 0.560          | 0.822          |
| Keanu_Reeves_0003.png                 | Dominique_de_Villepin         | 0.185          | 0.904          |
| Thomas_OBrien_0005.png                | Jean_Charest                  | 0.212          | 0.821          |
| Hu_Jintao_0002.png                    | Javier_Solana                 | 0.235          | 0.689          |
| Meryl_Streep_0003.png                 | Nancy_Pelosi                  | 0.233          | 0.867          |
| Vladimir_Putin_0049.png               | Michael_Bloomberg             | 0.654          | 0.623          |
| Naomi_Watts_0020.png                  | Nicole_Kidman                 | 0.867          | 0.611          |
| Li_Peng_0008.png                      | Yoriko_Kawaguchi              | 0.342          | 0.385          |
| Candie_Kung_0002.png                  | Junichiro_Koizumi             | 0.340          | 0.570          |
| Tariq_Aziz_0002.png                   | Marc_Grossman                 | 0.477          | 0.620          |
| Igor_Ivanov_0009.png                  | Mahathir_Mohamad              | 0.421          | 0.726          |
| Jennifer_Garner_0012.png              | Naomi_Watts                   | 0.275          | 0.590          |
| Leonid_Kuchma_0001.png                | George_W_Bush                 | 0.543          | 0.419          |
| William_Ford_Jr_0002.png              | Tony_Blair                    | 0.919          | 0.498          |
| Larry_Brown_0006.png                  | Donald_Rumsfeld               | 0.311          | 0.571          |
| Vladimir_Putin_0032.png               | Silvio_Berlusconi             | 0.628          | 0.703          |
| George_W_Bush_0418.png                | Trent_Lott                    | 0.364          | 0.868          |
| Gray_Davis_0021.png                   | Silvio_Berlusconi             | 0.769          | 0.982          |
| David_Beckham_0011.png                | Rainer_Schuettler             | 0.386          | 0.389          |
| Michael_Bloomberg_0003.png            | Donald_Rumsfeld               | 0.669          | 0.394          |
| Aleksander_Kwasniewski_0004.png       | George_W_Bush                 | 0.497          | 0.888          |
| Tony_Blair_0108.png                   | George_W_Bush                 | 0.382          | 0.264          |
| Salma_Hayek_0001.png                  | Nancy_Pelosi                  | 0.421          | 0.873          |
| Albert_Costa_0003.png                 | David_Heymann                 | 0.264          | 0.821          |
| Winona_Ryder_0007.png                 | Susan_Sarandon                | 0.236          | 0.915          |
| Lucio_Gutierrez_0002.png              | Luiz_Inacio_Lula_da_Silva     | 0.241          | 0.465          |
| Clay_Aiken_0005.png                   | Ana_Palacio                   | 0.656          | 0.850          |
| Hu_Jintao_0013.png                    | Chen_Shui-bian                | 0.160          | 0.849          |
| Kristanna_Loken_0003.png              | Angela_Bassett                | 0.275          | 0.438          |
| Ralf_Schumacher_0005.png              | Adam_Sandler                  | 0.284          | 0.777          |
| Alvaro_Uribe_0003.png                 | Paul_Wolfowitz                | 0.338          | 0.457          |
| Arianna_Huffington_0003.png           | Patricia_Clarkson             | 0.362          | 0.498          |
| Todd_Haynes_0002.png                  | Julianne_Moore                | 0.520          | 0.538          |
| David_Beckham_0019.png                | Michael_Bloomberg             | 0.912          | 0.965          |
| Prince_Charles_0002.png               | Bud_Selig                     | 0.556          | 0.634          |
| Gloria_Macapagal_Arroyo_0003.png      | Yoriko_Kawaguchi              | 0.559          | 0.929          |
| Ari_Fleischer_0006.png                | Silvio_Berlusconi             | 0.697          | 0.847          |
| Arnold_Schwarzenegger_0004.png        | Richard_Gere                  | 0.451          | 0.444          |
| Laura_Bush_0033.png                   | Geraldine_Chaplin             | 0.327          | 0.775          |
