+--------------------------------+-------------------+
| data/lfw_outer_aligned metrics | Value             |
+--------------------------------+-------------------+
| Total faces:                   | 6715              |
| Detected:                      | 4625/6715 (0.688) |
| Recognized:                    | 4207/4625 (0.909) |
| Total confidence:              | 3368.             |
+--------------------------------+-------------------+
+-----------------------------------+-------------------+
| lfw_outer_aligned_poisson metrics | Value             |
+-----------------------------------+-------------------+
| Total faces:                      | 6715              |
| Detected:                         | 4621/6715 (0.688) |
| Recognized:                       | 4197/4621 (0.908) |
| Total confidence:                 | 3345.             |
+-----------------------------------+-------------------+


COMPARING.

Disguised:
+---------------------------------------+---------------------------+----------------+----------------+
| FILE                                  | NEW TARGET                | NEW CONFIDENCE | OLD CONFIDENCE |
+---------------------------------------+---------------------------+----------------+----------------+
| Sergey_Lavrov_0002.png                | Trent_Lott                | 0.379          | 0.318          |
| Prince_Claus_0003.png                 | Nestor_Kirchner           | 0.315          | 0.320          |
| David_Beckham_0007.png                | Lance_Armstrong           | 0.286          | 0.308          |
| John_Manley_0001.png                  | Hans_Blix                 | 0.459          | 0.640          |
| Naomi_Watts_0020.png                  | Nicole_Kidman             | 0.491          | 0.611          |
| Luis_Ernesto_Derbez_Bautista_0003.png | Sergey_Lavrov             | 0.306          | 0.331          |
| Dominique_de_Villepin_0008.png        | Roy_Moore                 | 0.478          | 0.552          |
| Andre_Agassi_0006.png                 | Pete_Sampras              | 0.694          | 0.746          |
| Tim_Robbins_0004.png                  | Choi_Sung-hong            | 0.418          | 0.350          |
| Larry_Coker_0001.png                  | David_Nalbandian          | 0.581          | 0.524          |
| David_Beckham_0011.png                | Dale_Earnhardt_Jr         | 0.318          | 0.389          |
| Tony_Blair_0108.png                   | George_W_Bush             | 0.377          | 0.264          |
| Dennis_Kucinich_0004.png              | Arnold_Schwarzenegger     | 0.498          | 0.690          |
| Thomas_Fargo_0003.png                 | Gerhard_Schroeder         | 0.437          | 0.341          |
| Tom_Daschle_0007.png                  | Nick_Nolte                | 0.311          | 0.782          |
| Rick_Perry_0006.png                   | Paul_Bremer               | 0.935          | 0.367          |
| Andre_Agassi_0036.png                 | James_Blake               | 0.275          | 0.756          |
| Jacques_Rogge_0007.png                | Steven_Spielberg          | 0.257          | 0.320          |
| Jim_Furyk_0002.png                    | Christopher_Reeve         | 0.293          | 0.303          |
| Mahmoud_Abbas_0016.png                | Jean_Chretien             | 0.530          | 0.452          |
| Hillary_Clinton_0005.png              | Michael_Schumacher        | 0.267          | 0.633          |
| Jennifer_Garner_0005.png              | Catherine_Zeta-Jones      | 0.365          | 0.347          |
| Kate_Hudson_0004.png                  | Ludivine_Sagnier          | 0.597          | 0.455          |
| Ricardo_Sanchez_0004.png              | Mahathir_Mohamad          | 0.380          | 0.436          |
| John_Abizaid_0006.png                 | Steve_Nash                | 0.178          | 0.230          |
| Tom_Daschle_0018.png                  | Roy_Moore                 | 0.331          | 0.368          |
| Hamid_Karzai_0001.png                 | Recep_Tayyip_Erdogan      | 0.269          | 0.363          |
