+--------------------------------+-------------------+
| data/lfw_outer_aligned metrics | Value             |
+--------------------------------+-------------------+
| Total faces:                   | 6715              |
| Detected:                      | 4625/6715 (0.688) |
| Recognized:                    | 3109/4625 (0.672) |
| Total confidence:              | 550.3             |
+--------------------------------+-------------------+
+------------------------------------+-------------------+
| lfw_outer_aligned_gauss100 metrics | Value             |
+------------------------------------+-------------------+
| Total faces:                       | 6715              |
| Detected:                          | 4392/6715 (0.654) |
| Recognized:                        | 2839/4392 (0.646) |
| Total confidence:                  | 503.7             |
+------------------------------------+-------------------+


COMPARING.

Disguised:
+------------------------------------+---------------------------+----------------+----------------+
| FILE                               | NEW TARGET                | NEW CONFIDENCE | OLD CONFIDENCE |
+------------------------------------+---------------------------+----------------+----------------+
| Javier_Solana_0001.png             | Mahmoud_Abbas             | 0.026          | 0.024          |
| Katherine_Harris_0004.png          | Steffi_Graf               | 0.013          | 0.017          |
| Amelia_Vega_0005.png               | Jennifer_Lopez            | 0.017          | 0.020          |
| Vladimir_Putin_0045.png            | Dominique_de_Villepin     | 0.032          | 0.048          |
| Barbara_Walters_0001.png           | Nancy_Pelosi              | 0.013          | 0.012          |
| Naomi_Watts_0018.png               | Nicole_Kidman             | 0.030          | 0.029          |
| Jennifer_Lopez_0011.png            | Winona_Ryder              | 0.016          | 0.027          |
| Nicolas_Cage_0003.png              | Silvio_Berlusconi         | 0.013          | 0.011          |
| Rick_Perry_0004.png                | Paul_Bremer               | 0.021          | 0.019          |
| Antonio_Banderas_0001.png          | Fidel_Castro              | 0.017          | 0.014          |
| Li_Peng_0008.png                   | Hu_Jintao                 | 0.011          | 0.014          |
| Charles_Moose_0002.png             | Kofi_Annan                | 0.033          | 0.031          |
| Hitomi_Soga_0004.png               | Junichiro_Koizumi         | 0.014          | 0.013          |
| Maria_Shriver_0005.png             | Jennifer_Capriati         | 0.025          | 0.024          |
| Raoul_Ruiz_0002.png                | Silvio_Berlusconi         | 0.010          | 0.009          |
| Jean_Chretien_0008.png             | Jacques_Chirac            | 0.031          | 0.113          |
| Mike_Myers_0002.png                | Tony_Blair                | 0.043          | 0.019          |
| Hillary_Clinton_0008.png           | Nicole_Kidman             | 0.021          | 0.024          |
| John_Howard_0015.png               | George_W_Bush             | 0.038          | 0.047          |
| Jennifer_Garner_0008.png           | Jennifer_Aniston          | 0.024          | 0.028          |
| George_Lopez_0003.png              | Recep_Tayyip_Erdogan      | 0.011          | 0.017          |
| Yashwant_Sinha_0002.png            | Donald_Rumsfeld           | 0.022          | 0.020          |
| Jelena_Dokic_0007.png              | Amelie_Mauresmo           | 0.024          | 0.026          |
| Colin_Powell_0178.png              | Hans_Blix                 | 0.023          | 0.159          |
| JK_Rowling_0004.png                | George_W_Bush             | 0.017          | 0.014          |
| Yoriko_Kawaguchi_0012.png          | Junichiro_Koizumi         | 0.040          | 0.031          |
| Jacques_Rogge_0007.png             | George_W_Bush             | 0.022          | 0.016          |
| Tommy_Franks_0008.png              | Jean_Chretien             | 0.042          | 0.040          |
| Roger_Federer_0013.png             | Arnold_Schwarzenegger     | 0.026          | 0.031          |
| George_Clooney_0008.png            | Silvio_Berlusconi         | 0.026          | 0.028          |
| Alvaro_Uribe_0022.png              | George_W_Bush             | 0.024          | 0.054          |
| Clare_Short_0001.png               | Junichiro_Koizumi         | 0.015          | 0.012          |
| Tom_Daschle_0020.png               | George_W_Bush             | 0.065          | 0.064          |
| Igor_Ivanov_0008.png               | Atal_Bihari_Vajpayee      | 0.025          | 0.015          |
| Tom_Crean_0002.png                 | Bill_Gates                | 0.014          | 0.013          |
| Adrien_Brody_0002.png              | Alvaro_Uribe              | 0.039          | 0.029          |
| Carla_Del_Ponte_0005.png           | Silvio_Berlusconi         | 0.013          | 0.012          |
| Kate_Hudson_0004.png               | Meryl_Streep              | 0.016          | 0.024          |
| Kim_Ryong-sung_0009.png            | George_W_Bush             | 0.018          | 0.020          |
| Martin_McGuinness_0004.png         | George_W_Bush             | 0.018          | 0.016          |
| Joan_Laporta_0003.png              | Alvaro_Uribe              | 0.014          | 0.017          |
| George_W_Bush_0509.png             | Silvio_Berlusconi         | 0.060          | 0.060          |
| John_Travolta_0002.png             | Arnold_Schwarzenegger     | 0.024          | 0.021          |
| Carlos_Moya_0017.png               | Lance_Armstrong           | 0.027          | 0.041          |
| Amanda_Bynes_0001.png              | Cameron_Diaz              | 0.015          | 0.015          |
| David_Heymann_0004.png             | George_W_Bush             | 0.014          | 0.013          |
| Mohamed_ElBaradei_0002.png         | Mahmoud_Abbas             | 0.028          | 0.022          |
| Carmen_Electra_0002.png            | Angelina_Jolie            | 0.014          | 0.014          |
| Jeremy_Greenstock_0007.png         | George_W_Bush             | 0.043          | 0.029          |
| Ralf_Schumacher_0006.png           | Michael_Schumacher        | 0.027          | 0.025          |
| Mahathir_Mohamad_0005.png          | Ricardo_Lagos             | 0.026          | 0.036          |
| Gordon_Brown_0007.png              | Silvio_Berlusconi         | 0.024          | 0.039          |
| Ari_Fleischer_0011.png             | Silvio_Berlusconi         | 0.027          | 0.026          |
| Edmund_Stoiber_0001.png            | Tommy_Franks              | 0.030          | 0.025          |
| Hamid_Karzai_0001.png              | Recep_Tayyip_Erdogan      | 0.025          | 0.022          |
| John_Paul_II_0009.png              | George_W_Bush             | 0.021          | 0.028          |
| Pete_Sampras_0011.png              | Andre_Agassi              | 0.022          | 0.020          |
| Mike_Krzyzewski_0003.png           | Gerhard_Schroeder         | 0.019          | 0.015          |
| Paul_Bremer_0005.png               | George_W_Bush             | 0.049          | 0.042          |
| Susan_Sarandon_0003.png            | Julie_Gerberding          | 0.019          | 0.019          |
| Oscar_De_La_Hoya_0004.png          | Silvio_Berlusconi         | 0.028          | 0.015          |
| Cherie_Blair_0001.png              | Meryl_Streep              | 0.012          | 0.012          |
| John_Howard_0007.png               | George_W_Bush             | 0.042          | 0.045          |
