+--------------------------------+-------------------+
| data/lfw_outer_aligned metrics | Value             |
+--------------------------------+-------------------+
| Total faces:                   | 6715              |
| Detected:                      | 4625/6715 (0.688) |
| Recognized:                    | 3109/4625 (0.672) |
| Total confidence:              | 550.3             |
+--------------------------------+-------------------+
+------------------------------------+-------------------+
| lfw_outer_aligned_gauss500 metrics | Value             |
+------------------------------------+-------------------+
| Total faces:                       | 6715              |
| Detected:                          | 2605/6715 (0.387) |
| Recognized:                        | 1453/2605 (0.557) |
| Total confidence:                  | 228.1             |
+------------------------------------+-------------------+


COMPARING.

Disguised:
+------------------------------------------+---------------------------+----------------+----------------+
| FILE                                     | NEW TARGET                | NEW CONFIDENCE | OLD CONFIDENCE |
+------------------------------------------+---------------------------+----------------+----------------+
| Pervez_Musharraf_0018.png                | Igor_Ivanov               | 0.026          | 0.052          |
| Wen_Jiabao_0007.png                      | Mahmoud_Abbas             | 0.040          | 0.028          |
| Rudolph_Giuliani_0017.png                | Tommy_Franks              | 0.018          | 0.031          |
| Katherine_Harris_0004.png                | Steffi_Graf               | 0.015          | 0.017          |
| Amelia_Vega_0005.png                     | Jennifer_Lopez            | 0.032          | 0.020          |
| Emma_Watson_0003.png                     | Laura_Bush                | 0.009          | 0.012          |
| Vladimir_Putin_0045.png                  | Dominique_de_Villepin     | 0.046          | 0.048          |
| Alvaro_Uribe_0018.png                    | Donald_Rumsfeld           | 0.030          | 0.050          |
| Barbara_Walters_0001.png                 | Nancy_Pelosi              | 0.012          | 0.012          |
| Naomi_Watts_0018.png                     | Nicole_Kidman             | 0.023          | 0.029          |
| Ari_Fleischer_0009.png                   | Silvio_Berlusconi         | 0.023          | 0.031          |
| Jennifer_Capriati_0011.png               | Tony_Blair                | 0.051          | 0.055          |
| Nicolas_Cage_0003.png                    | Silvio_Berlusconi         | 0.014          | 0.011          |
| Rick_Perry_0004.png                      | Paul_Bremer               | 0.017          | 0.019          |
| Ray_Romano_0004.png                      | Sylvester_Stallone        | 0.019          | 0.018          |
| Keanu_Reeves_0003.png                    | Tony_Blair                | 0.031          | 0.029          |
| Antonio_Banderas_0001.png                | Fidel_Castro              | 0.022          | 0.014          |
| Cesar_Gaviria_0006.png                   | Mahmoud_Abbas             | 0.020          | 0.023          |
