+--------------------------------+-------------------+
| data/lfw_outer_aligned metrics | Value             |
+--------------------------------+-------------------+
| Total faces:                   | 6715              |
| Detected:                      | 4625/6715 (0.688) |
| Recognized:                    | 3109/4625 (0.672) |
| Total confidence:              | 550.3             |
+--------------------------------+-------------------+
+-------------------------------------+-------------------+
| lfw_outer_aligned_speckle25 metrics | Value             |
+-------------------------------------+-------------------+
| Total faces:                        | 6715              |
| Detected:                           | 1041/6715 (0.155) |
| Recognized:                         | 0/1041 (0.0)      |
| Total confidence:                   | -100.             |
+-------------------------------------+-------------------+


COMPARING.

Disguised:
+------------------------------------------+---------------------------+----------------+---------------------------------+----------------+
| FILE                                     | NEW TARGET                | NEW CONFIDENCE | OLD TARGET                      | OLD CONFIDENCE |
+------------------------------------------+---------------------------+----------------+---------------------------------+----------------+
| Pervez_Musharraf_0018.png                | Pervez_Musharraf          | 0.031          | Pervez_Musharraf                | 0.052          |
| Javier_Solana_0001.png                   | Mahmoud_Abbas             | 0.016          | Javier_Solana                   | 0.024          |
| George_W_Bush_0395.png                   | George_W_Bush             | 0.662          | George_W_Bush                   | 0.784          |
| Colin_Powell_0110.png                    | Colin_Powell              | 0.164          | Colin_Powell                    | 0.298          |
| Wen_Jiabao_0007.png                      | Mahmoud_Abbas             | 0.021          | Wen_Jiabao                      | 0.028          |
| George_W_Bush_0450.png                   | George_W_Bush             | 0.687          | George_W_Bush                   | 0.765          |
| James_Blake_0005.png                     | James_Blake               | 0.021          | James_Blake                     | 0.040          |
| George_W_Bush_0083.png                   | George_W_Bush             | 0.450          | George_W_Bush                   | 0.873          |
| Katherine_Harris_0004.png                | Katherine_Harris          | 0.012          | Katherine_Harris                | 0.017          |
| Colin_Powell_0009.png                    | Colin_Powell              | 0.309          | Colin_Powell                    | 0.283          |
| John_Negroponte_0015.png                 | Alvaro_Uribe              | 0.026          | John_Negroponte                 | 0.093          |
| Laura_Bush_0016.png                      | Laura_Bush                | 0.086          | Laura_Bush                      | 0.254          |
| Serena_Williams_0034.png                 | Serena_Williams           | 0.081          | Serena_Williams                 | 0.116          |
| Tony_Blair_0111.png                      | Michael_Bloomberg         | 0.043          | Tony_Blair                      | 0.272          |
| Jennifer_Capriati_0028.png               | Jennifer_Capriati         | 0.120          | Jennifer_Capriati               | 0.179          |
| Jennifer_Capriati_0011.png               | Arnold_Schwarzenegger     | 0.040          | Jennifer_Capriati               | 0.055          |
| John_Negroponte_0011.png                 | Ariel_Sharon              | 0.020          | John_Negroponte                 | 0.136          |
| Juan_Carlos_Ferrero_0004.png             | Junichiro_Koizumi         | 0.029          | Juan_Carlos_Ferrero             | 0.080          |
| Serena_Williams_0007.png                 | Serena_Williams           | 0.060          | Serena_Williams                 | 0.136          |
