+--------------------------------+-------------------+
| data/lfw_outer_aligned metrics | Value             |
+--------------------------------+-------------------+
| Total faces:                   | 6715              |
| Detected:                      | 4625/6715 (0.688) |
| Recognized:                    | 3846/4625 (0.831) |
| Total confidence:              | 552.8             |
+--------------------------------+-------------------+
+------------------------------------+-------------------+
| lfw_outer_aligned_gauss100 metrics | Value             |
+------------------------------------+-------------------+
| Total faces:                       | 6715              |
| Detected:                          | 4392/6715 (0.654) |
| Recognized:                        | 3563/4392 (0.811) |
| Total confidence:                  | 512.0             |
+------------------------------------+-------------------+


COMPARING.

Disguised:
+---------------------------------------+---------------------------+----------------+----------------+
| FILE                                  | NEW TARGET                | NEW CONFIDENCE | OLD CONFIDENCE |
+---------------------------------------+---------------------------+----------------+----------------+
| Jimmy_Carter_0005.png                 | Colin_Powell              | 0.029          | 0.025          |
| Vaclav_Havel_0003.png                 | Hans_Blix                 | 0.040          | 0.029          |
| Doris_Schroeder_0004.png              | Nicole_Kidman             | 0.012          | 0.021          |
| Jennifer_Lopez_0011.png               | Arianna_Huffington        | 0.014          | 0.045          |
| Gregg_Popovich_0003.png               | Hans_Blix                 | 0.019          | 0.020          |
| Rick_Perry_0004.png                   | Alvaro_Uribe              | 0.014          | 0.015          |
| Colin_Farrell_0005.png                | George_W_Bush             | 0.021          | 0.020          |
| Francisco_Flores_0002.png             | Alvaro_Uribe              | 0.022          | 0.014          |
| Kim_Dae-jung_0001.png                 | Colin_Powell              | 0.011          | 0.021          |
| Salma_Hayek_0003.png                  | Laura_Bush                | 0.013          | 0.034          |
| George_Lopez_0003.png                 | Colin_Powell              | 0.012          | 0.024          |
| Vanessa_Incontrada_0002.png           | George_W_Bush             | 0.015          | 0.017          |
| Gil_de_Ferran_0003.png                | George_W_Bush             | 0.014          | 0.015          |
| Hugh_Grant_0002.png                   | Jiri_Novak                | 0.014          | 0.023          |
| Jacques_Chirac_0013.png               | Donald_Rumsfeld           | 0.041          | 0.098          |
| Osama_bin_Laden_0001.png              | George_W_Bush             | 0.014          | 0.016          |
| Habib_Rizieq_0001.png                 | Saddam_Hussein            | 0.017          | 0.026          |
| Sergey_Lavrov_0010.png                | George_W_Bush             | 0.013          | 0.028          |
| Debbie_Reynolds_0001.png              | Laura_Bush                | 0.010          | 0.016          |
| Monica_Bellucci_0001.png              | George_W_Bush             | 0.010          | 0.013          |
| Hillary_Clinton_0008.png              | Anna_Kournikova           | 0.012          | 0.014          |
| Justine_Pasek_0006.png                | Winona_Ryder              | 0.013          | 0.022          |
| Nathalie_Baye_0003.png                | Steffi_Graf               | 0.013          | 0.011          |
| William_Macy_0001.png                 | Colin_Powell              | 0.033          | 0.026          |
| Vicente_Fox_0030.png                  | George_W_Bush             | 0.038          | 0.047          |
| Sourav_Ganguly_0005.png               | Arnold_Schwarzenegger     | 0.012          | 0.011          |
| Elizabeth_Smart_0003.png              | Anna_Kournikova           | 0.019          | 0.017          |
| Pedro_Almodovar_0006.png              | Gonzalo_Sanchez_de_Lozada | 0.028          | 0.022          |
| Leonardo_DiCaprio_0007.png            | David_Beckham             | 0.018          | 0.024          |
| Michael_Douglas_0005.png              | Donald_Rumsfeld           | 0.017          | 0.015          |
| Conan_OBrien_0001.png                 | Arnold_Schwarzenegger     | 0.015          | 0.022          |
| Kate_Hudson_0008.png                  | Anna_Kournikova           | 0.020          | 0.018          |
| Brad_Garrett_0004.png                 | Luiz_Inacio_Lula_da_Silva | 0.023          | 0.024          |
| Albert_Costa_0003.png                 | George_W_Bush             | 0.010          | 0.010          |
| Yashwant_Sinha_0002.png               | Donald_Rumsfeld           | 0.018          | 0.025          |
| Herb_Sendek_0004.png                  | Tony_Blair                | 0.028          | 0.017          |
| Howard_Dean_0009.png                  | Tony_Blair                | 0.059          | 0.029          |
| Al_Sharpton_0002.png                  | Kofi_Annan                | 0.017          | 0.015          |
| Jeong_Se-hyun_0003.png                | George_W_Bush             | 0.014          | 0.025          |
| Holly_Hunter_0003.png                 | Celine_Dion               | 0.016          | 0.024          |
| Eduardo_Duhalde_0004.png              | Jean-Pierre_Raffarin      | 0.017          | 0.044          |
| Mark_Wahlberg_0004.png                | Tony_Blair                | 0.020          | 0.016          |
| Guillermo_Coria_0011.png              | Tony_Blair                | 0.023          | 0.029          |
| Sergei_Ivanov_0004.png                | Bill_Gates                | 0.017          | 0.015          |
| William_Donaldson_0001.png            | Gerhard_Schroeder         | 0.016          | 0.020          |
| Steve_Nash_0004.png                   | Andre_Agassi              | 0.017          | 0.026          |
| Steve_Lavin_0001.png                  | Paul_Bremer               | 0.021          | 0.020          |
| Colin_Powell_0178.png                 | Donald_Rumsfeld           | 0.016          | 0.278          |
| Ray_Romano_0007.png                   | George_W_Bush             | 0.007          | 0.018          |
| JK_Rowling_0004.png                   | Steffi_Graf               | 0.011          | 0.013          |
| Lindsay_Davenport_0015.png            | Michael_Schumacher        | 0.012          | 0.063          |
| Bernard_Landry_0004.png               | John_Paul_II              | 0.028          | 0.019          |
| Lleyton_Hewitt_0021.png               | Arnold_Schwarzenegger     | 0.013          | 0.018          |
| Rudolph_Giuliani_0002.png             | George_W_Bush             | 0.067          | 0.028          |
| Aaron_Peirsol_0004.png                | David_Beckham             | 0.013          | 0.021          |
| Jeremy_Greenstock_0016.png            | George_W_Bush             | 0.024          | 0.047          |
| Jacques_Rogge_0007.png                | George_W_Bush             | 0.018          | 0.018          |
| Howard_Dean_0012.png                  | Tony_Blair                | 0.060          | 0.020          |
| Luis_Ernesto_Derbez_Bautista_0002.png | Bob_Hope                  | 0.019          | 0.020          |
| Michael_Chiklis_0001.png              | Gerhard_Schroeder         | 0.020          | 0.023          |
| Naji_Sabri_0007.png                   | Luiz_Inacio_Lula_da_Silva | 0.029          | 0.026          |
| Ernie_Els_0002.png                    | Lance_Armstrong           | 0.022          | 0.021          |
| Michelle_Kwan_0002.png                | Gloria_Macapagal_Arroyo   | 0.018          | 0.022          |
| Zhang_Ziyi_0003.png                   | Gloria_Macapagal_Arroyo   | 0.017          | 0.024          |
| Pete_Sampras_0012.png                 | Arnold_Schwarzenegger     | 0.021          | 0.064          |
| Guillermo_Coria_0030.png              | Arnold_Schwarzenegger     | 0.034          | 0.023          |
| George_Lopez_0005.png                 | Tony_Blair                | 0.016          | 0.024          |
| Eduard_Shevardnadze_0002.png          | Trent_Lott                | 0.014          | 0.015          |
| Mick_Jagger_0004.png                  | Tony_Blair                | 0.021          | 0.017          |
| Amelia_Vega_0006.png                  | Angelina_Jolie            | 0.013          | 0.017          |
| Trent_Lott_0012.png                   | Donald_Rumsfeld           | 0.025          | 0.030          |
| Lance_Bass_0001.png                   | Ian_Thorpe                | 0.013          | 0.016          |
| Bill_McBride_0004.png                 | George_W_Bush             | 0.029          | 0.027          |
| Hans_Blix_0003.png                    | Michael_Schumacher        | 0.019          | 0.023          |
| Martin_Scorsese_0007.png              | Vicente_Fox               | 0.019          | 0.015          |
| Holly_Hunter_0007.png                 | Winona_Ryder              | 0.021          | 0.022          |
| Megawati_Sukarnoputri_0008.png        | Gloria_Macapagal_Arroyo   | 0.022          | 0.025          |
| Jose_Serra_0003.png                   | Luiz_Inacio_Lula_da_Silva | 0.030          | 0.025          |
| John_Travolta_0006.png                | George_W_Bush             | 0.018          | 0.029          |
| Matthew_Broderick_0002.png            | Fernando_Gonzalez         | 0.010          | 0.010          |
| Sheryl_Crow_0007.png                  | Naomi_Watts               | 0.021          | 0.025          |
| Nicole_Kidman_0019.png                | Steffi_Graf               | 0.011          | 0.025          |
| Zhu_Rongji_0002.png                   | Mahathir_Mohamad          | 0.009          | 0.023          |
| David_Nalbandian_0006.png             | Michael_Schumacher        | 0.015          | 0.029          |
| Joschka_Fischer_0001.png              | Ariel_Sharon              | 0.029          | 0.025          |
| Adrien_Brody_0002.png                 | Alvaro_Uribe              | 0.026          | 0.027          |
| Amelia_Vega_0002.png                  | Jennifer_Lopez            | 0.017          | 0.021          |
| Howard_Dean_0002.png                  | Hans_Blix                 | 0.020          | 0.019          |
| John_Warner_0001.png                  | Trent_Lott                | 0.022          | 0.017          |
| Kim_Ryong-sung_0009.png               | George_W_Bush             | 0.015          | 0.013          |
| Alvaro_Uribe_0004.png                 | Mahmoud_Abbas             | 0.018          | 0.042          |
| Bill_McBride_0002.png                 | George_W_Bush             | 0.033          | 0.032          |
| Joan_Laporta_0003.png                 | Alvaro_Uribe              | 0.012          | 0.024          |
| Sergey_Lavrov_0003.png                | George_W_Bush             | 0.028          | 0.022          |
| George_W_Bush_0509.png                | Silvio_Berlusconi         | 0.062          | 0.123          |
| Carlos_Moya_0017.png                  | George_W_Bush             | 0.017          | 0.023          |
| John_Stockton_0004.png                | George_W_Bush             | 0.009          | 0.025          |
| Augustin_Calleri_0003.png             | Matthew_Broderick         | 0.013          | 0.017          |
| Mohamed_ElBaradei_0002.png            | Fidel_Castro              | 0.017          | 0.028          |
| Pierce_Brosnan_0005.png               | Tony_Blair                | 0.029          | 0.026          |
| Elsa_Zylberstein_0004.png             | Anna_Kournikova           | 0.011          | 0.018          |
| Zhu_Rongji_0006.png                   | Clare_Short               | 0.013          | 0.017          |
| Renee_Zellweger_0009.png              | Naomi_Watts               | 0.014          | 0.028          |
