+--------------------------------+-------------------+
| data/lfw_outer_aligned metrics | Value             |
+--------------------------------+-------------------+
| Total faces:                   | 6715              |
| Detected:                      | 4625/6715 (0.688) |
| Recognized:                    | 3846/4625 (0.831) |
| Total confidence:              | 552.8             |
+--------------------------------+-------------------+
+------------------------------------+-------------------+
| lfw_outer_aligned_gauss500 metrics | Value             |
+------------------------------------+-------------------+
| Total faces:                       | 6715              |
| Detected:                          | 2605/6715 (0.387) |
| Recognized:                        | 1694/2605 (0.650) |
| Total confidence:                  | 232.3             |
+------------------------------------+-------------------+


COMPARING.

Disguised:
+------------------------------------------+---------------------------+----------------+----------------+
| FILE                                     | NEW TARGET                | NEW CONFIDENCE | OLD CONFIDENCE |
+------------------------------------------+---------------------------+----------------+----------------+
| Abel_Pacheco_0003.png                    | Ariel_Sharon              | 0.031          | 0.024          |
| Wen_Jiabao_0007.png                      | Mahmoud_Abbas             | 0.029          | 0.051          |
| Justine_Pasek_0003.png                   | Jennifer_Capriati         | 0.025          | 0.024          |
| Amelia_Vega_0005.png                     | Jennifer_Lopez            | 0.027          | 0.037          |
| Salma_Hayek_0013.png                     | Winona_Ryder              | 0.016          | 0.031          |
| Emma_Watson_0003.png                     | Winona_Ryder              | 0.008          | 0.014          |
| Vladimir_Putin_0045.png                  | Dominique_de_Villepin     | 0.042          | 0.039          |
| Muhammad_Ali_0006.png                    | George_W_Bush             | 0.022          | 0.028          |
| Al_Gore_0006.png                         | Tony_Blair                | 0.033          | 0.026          |
| Ralf_Schumacher_0001.png                 | Hugh_Grant                | 0.022          | 0.034          |
| Ari_Fleischer_0009.png                   | Silvio_Berlusconi         | 0.017          | 0.039          |
| Helen_Clark_0004.png                     | Michael_Schumacher        | 0.012          | 0.020          |
| Jon_Gruden_0007.png                      | George_W_Bush             | 0.025          | 0.020          |
| Jennifer_Capriati_0011.png               | Tony_Blair                | 0.042          | 0.078          |
| Oswaldo_Paya_0005.png                    | Gerhard_Schroeder         | 0.024          | 0.018          |
| Nicolas_Cage_0003.png                    | Silvio_Berlusconi         | 0.016          | 0.018          |
| Ray_Romano_0004.png                      | Sylvester_Stallone        | 0.014          | 0.012          |
| Keanu_Reeves_0003.png                    | Tony_Blair                | 0.024          | 0.032          |
| Thomas_OBrien_0005.png                   | Donald_Rumsfeld           | 0.014          | 0.026          |
| Hu_Jintao_0002.png                       | Colin_Powell              | 0.023          | 0.029          |
| Azra_Akin_0001.png                       | Anna_Kournikova           | 0.011          | 0.021          |
| Nicanor_Duarte_Frutos_0008.png           | Gerhard_Schroeder         | 0.014          | 0.013          |
| Angelina_Jolie_0016.png                  | Naomi_Watts               | 0.014          | 0.054          |
| Naomi_Watts_0020.png                     | Nicole_Kidman             | 0.027          | 0.056          |
| Nicole_Kidman_0006.png                   | Michael_Schumacher        | 0.013          | 0.015          |
| Li_Peng_0008.png                         | Gloria_Macapagal_Arroyo   | 0.015          | 0.020          |
| Kim_Clijsters_0014.png                   | George_W_Bush             | 0.020          | 0.033          |
| Wen_Jiabao_0003.png                      | Muhammad_Saeed_al-Sahhaf  | 0.020          | 0.022          |
| Heizo_Takenaka_0008.png                  | George_W_Bush             | 0.012          | 0.021          |
| Luis_Ernesto_Derbez_Bautista_0001.png    | Alvaro_Uribe              | 0.025          | 0.024          |
| Julianne_Moore_0010.png                  | Laura_Bush                | 0.017          | 0.029          |
| Tom_Ridge_0011.png                       | Colin_Powell              | 0.026          | 0.034          |
| Hillary_Clinton_0008.png                 | Susan_Sarandon            | 0.010          | 0.014          |
| Tim_Robbins_0004.png                     | Colin_Powell              | 0.029          | 0.023          |
