+--------------------------------+-------------------+
| data/lfw_outer_aligned metrics | Value             |
+--------------------------------+-------------------+
| Total faces:                   | 6715              |
| Detected:                      | 4625/6715 (0.688) |
| Recognized:                    | 3846/4625 (0.831) |
| Total confidence:              | 552.8             |
+--------------------------------+-------------------+
+-----------------------------------+-------------------+
| lfw_outer_aligned_poisson metrics | Value             |
+-----------------------------------+-------------------+
| Total faces:                      | 6715              |
| Detected:                         | 4621/6715 (0.688) |
| Recognized:                       | 3826/4621 (0.827) |
| Total confidence:                 | 555.3             |
+-----------------------------------+-------------------+


COMPARING.

Disguised:
+---------------------------------------+---------------------------+----------------+----------------+
| FILE                                  | NEW TARGET                | NEW CONFIDENCE | OLD CONFIDENCE |
+---------------------------------------+---------------------------+----------------+----------------+
| Sergey_Lavrov_0002.png                | Mohammed_Al-Douri         | 0.020          | 0.016          |
| John_Manley_0001.png                  | Hans_Blix                 | 0.024          | 0.029          |
| Jon_Gruden_0007.png                   | Lance_Armstrong           | 0.021          | 0.020          |
| Thomas_OBrien_0005.png                | George_W_Bush             | 0.016          | 0.026          |
| Jean_Chretien_0012.png                | Ariel_Sharon              | 0.044          | 0.062          |
| Igor_Ivanov_0019.png                  | Recep_Tayyip_Erdogan      | 0.014          | 0.030          |
| Tim_Robbins_0004.png                  | Colin_Powell              | 0.022          | 0.023          |
| Justine_Pasek_0006.png                | Catherine_Zeta-Jones      | 0.021          | 0.022          |
| William_Macy_0001.png                 | Colin_Powell              | 0.027          | 0.026          |
| Michael_Douglas_0005.png              | Rudolph_Giuliani          | 0.015          | 0.015          |
| Dennis_Kucinich_0004.png              | Arnold_Schwarzenegger     | 0.018          | 0.022          |
| John_Ashcroft_0018.png                | Hans_Blix                 | 0.067          | 0.074          |
| Mark_Wahlberg_0004.png                | Tony_Blair                | 0.018          | 0.016          |
| Gunter_Pleuger_0005.png               | Donald_Rumsfeld           | 0.017          | 0.032          |
| Andre_Agassi_0036.png                 | Andy_Roddick              | 0.010          | 0.027          |
| Jacques_Rogge_0007.png                | George_W_Bush             | 0.014          | 0.018          |
| Christine_Baumgartner_0004.png        | Jennifer_Capriati         | 0.015          | 0.022          |
| Guillermo_Coria_0030.png              | Arnold_Schwarzenegger     | 0.021          | 0.023          |
| Mick_Jagger_0004.png                  | William_Ford_Jr           | 0.018          | 0.017          |
| Larry_Brown_0002.png                  | George_W_Bush             | 0.022          | 0.023          |
| Jim_Hahn_0003.png                     | Alvaro_Uribe              | 0.016          | 0.014          |
| Hillary_Clinton_0005.png              | Michael_Schumacher        | 0.011          | 0.012          |
| Nicole_Kidman_0019.png                | Jennifer_Aniston          | 0.010          | 0.025          |
